MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB64SKM101Z,,,,,,QTY,600,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
BK,,250,270.0,80.0,,,국내,600,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2025-11-19 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,250,270.0,80.0,0,0.0,,600,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-02-27 00:00:00,,,
라벨발주 1.02%,,255,275.4,81.6,0,0.0,,612,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
겉감                           OUT-SHELL,600,BK,,,,,,"53""",정요척,1.19,Y,714,,,Y,2025-12-05 00:00:00,715,Y,1,,,,,가영,,,12/05 Ship Send,
,0,0,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"(싸개패드)
다후다",600,BK,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,0,0,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"스트레치
LINING
해리,주머니감",600,BK,,,,,,"48""",정요척,1.07,Y,642,,,Y,2025-12-05 00:00:00,642,Y,0,,,,,성 보,,,12/05 Ship Send,
,0,0,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"쉬 폰
LINING",600,BK,,,,,,"44""",정요척,0.15,Y,90,,,Y,,,Y,-90,,,,,성 보,,,,
