MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB64SLM123Z,,,,,,QTY,1207,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
BK,,280,290.0,134.0,,,국내,704,,,,,,,,,,,,,,,,,,,,
,,223,230.0,50.0,,,,503,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2025-11-19 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,503,520.0,184.0,0,0.0,,1207,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-03-11 00:00:00,,,
라벨발주 1.02%,,513.0600000000001,530.4,187.68,0,0.0,,1231.14,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
"겉감
OUT-SHELL",704,BK,,,,,,"52""",정요척,1.44,Y,1013.76,,,Y,2025-12-05 00:00:00,1015,Y,1.240000000000009,,,,,천지,,,12/05 Ship Send,
,503,,,,,,,"52""",정요척,1.44,Y,724.3199999999999,,,Y,,725,Y,0.6800000000000637,,,,,,,,,
,0,0,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"(싸개패드)
다후다",704,BK,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,503,,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"배 색
COMBINATION",704,BK,,,,,,"58""",정요척,0.07,Y,49.28,,,Y,,,Y,-49.28,,,,,성 보,,,,
,503,,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
