MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB64SLP103Z,,,,,,QTY,2962,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
DN,,290,330.0,175.0,,,국내,795,,,,,,,,,,,,,,,,,,,,
CO,,360,440.0,191.0,,,,991,,,,,,,,,,,,,,,,,,,,
BK,,390,490.0,296.0,,,,1176,,,,,,,선진행건,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2025-09-23 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,1040,1260.0,662.0,0,0.0,,2962,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-02-20 00:00:00,,,
라벨발주 1.02%,,1060.8,1285.2,675.24,0,0.0,,3021.2400000000002,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
겉감                           OUT-SHELL,795,DN,,,,,,"55""",정요척,1.15,Y,914.2499999999999,,,Y,2025-09-26 00:00:00,916.25,Y,2.0000000000001137,,,,,바오,,,09/26 Ship Send,
,991,CO,,,,,,,정요척,1.15,Y,1139.6499999999999,,,Y,,1140,Y,0.3500000000001364,,,,,,,,,
,1176,BK,,,,,,,정요척,1.15,Y,1352.3999999999999,,,Y,,1353,Y,0.6000000000001364,,,,,,,,,
"(싸개패드)
다후다",795,DN,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,991,CO,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
