MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YHMM181A,,,,,,QTY,561,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
CG,,187,100.0,,,,국내,287,,,,,,,,,,,,,,,,,,,,
CR,,174,100.0,,,,,274,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-07-21 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,361,200.0,0.0,0,0.0,,561,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-09-02 00:00:00,,,
라벨발주 1.02%,,368.22,204.0,0.0,0,0.0,,572.22,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
겉감                           OUT-SHELL,287,CG,,,,,,"57""",정요척,1.81,Y,519.47,,,Y,,,Y,-519.47,,,,,리드,,,,
,274,CR,,,,,,"56""",정요척,1.86,Y,509.64000000000004,,,Y,,,Y,-509.64000000000004,,,,,유크,,,,
,0,0,,,,,,"57""",정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"(싸개패드)
다후다",287,CG,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,274,CR,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"다운용
LINING
등판",287,CG,,,,,,"56""",정요척,0.61,Y,175.07,,,Y,,,Y,-175.07,,,Y,,성 보,,,,
,274,CR,,,,,,"60""",정요척,0.61,Y,167.14,,,Y,,,Y,-167.14,,,Y,,,,,,
