MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YHMP104Z,,,,,,QTY,1330,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
CA,,400,239.0,,,,국내,639,,,,,,,,,,,,,,,,,,,,
MG,,430,261.0,,,,,691,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-02-05 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,830,500.0,0.0,0,0.0,,1330,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2025-09-02 00:00:00,,,
라벨발주 1.02%,,846.6,510.0,0.0,0,0.0,,1356.6000000000001,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
겉감                           OUT-SHELL,639,CA,,,,,,"57""",정요척,1.11,Y,709.2900000000001,,,Y,2026-02-07 00:00:00,710,Y,0.7099999999999227,,,,,유미,,,02/07 China Ship Send,
,691,MG,,,,,,"57""",정요척,1.11,Y,767.0100000000001,,,Y,,767.2,Y,0.18999999999994088,,,,,성주,,,,
"(싸개패드)
다후다",639,CA,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,691,MG,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"트윌
LINING
해리,주머니감",639,CA,,,,,,"44""",정요척,0.17,Y,108.63000000000001,,,Y,,,Y,-108.63000000000001,,,,,성 보,,,,
,691,MG,,,,,,,정요척,0.17,Y,117.47000000000001,,,Y,,,Y,-117.47000000000001,,,,,,,,,
