MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YJKM106Z,,,,,,QTY,841,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
GR,,400,350.0,91.0,,,국내,841,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-06-19 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,400,350.0,91.0,0,0.0,,841,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-10-01 00:00:00,,,
라벨발주 1.02%,,408,357.0,92.82000000000001,0,0.0,,857.82,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
겉감                           OUT-SHELL,841,GR,,,,,,"55""",정요척,1.45,Y,1219.45,,,Y,2026-06-27 00:00:00,1220.2,Y,0.75,,,,,리드,,,중국선적(예),
,0,0,,,,,,,정요척,1.45,Y,0,,,Y,,,Y,0,,,,,,,,,
"(싸개패드)
다후다",841,GR,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,0,0,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"다후다
LINING
주머니속 손등",841,GR,,,,,,"44""",정요척,0.05,Y,42.050000000000004,,,Y,,,Y,-42.050000000000004,,,,,성 보,,,,
,0,0,,,,,,,정요척,0.05,Y,0,,,Y,,,Y,0,,,,,,,,,
