MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YSLM111Z,,,,,,QTY,812,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
BK,,320,360.0,132.0,,,국내,812,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-06-11 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,320,360.0,132.0,0,0.0,,812,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-10-01 00:00:00,,,
라벨발주 1.02%,,326.4,367.2,134.64000000000001,0,0.0,,828.24,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
"겉감
OUT-SHELL",812,BK,,,,,,"56""",정요척,1.38,Y,1120.56,,,Y,2026-06-27 00:00:00,1121,Y,0.44000000000005457,,,,,르카이,,,중국선적(예),
,0,0,,,,,,,정요척,1.38,Y,0,,,Y,,,Y,0,,,,,,,,,
,0,0,,,,,,,정요척,1.38,Y,0,,,Y,,,Y,0,,,,,,,,,
"(싸개패드)
다후다",812,BK,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,0,0,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"배 색
COMBINATION",812,BK,,,,,,"58""",정요척,0.1,Y,81.2,,,Y,,,Y,-81.2,,,,,성 보,,,,
,0,0,,,,,,,정요척,0.1,Y,0,,,Y,,,Y,0,,,,,,,,,
