MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB64SKM103Z,,,,,,QTY,928,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
WH,,150,150.0,42.0,,,국내,342,,,,,,,,,,,,,,,,,,,,
BK,,240,260.0,86.0,,,,586,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2025-11-19 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,390,410.0,128.0,0,0.0,,928,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-03-11 00:00:00,,,
라벨발주 1.02%,,397.8,418.2,130.56,0,0.0,,946.5600000000001,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
겉감                           OUT-SHELL,342,WH,,,,,,"53""",정요척,0.92,Y,314.64,,,Y,2025-12-05 00:00:00,310.5,Y,-4.139999999999986,,,,,천지,,,12/05 Ship Send,
,586,BK,,,,,,,정요척,0.92,Y,539.12,,,Y,,538.5,Y,-0.6200000000000045,,,,,,,,,
"(싸개패드)
다후다",342,WH,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,586,BK,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"스트레치
LINING
해리,주머니감",342,WH,,,,,,"48""",정요척,0.84,Y,287.28,,,Y,2025-12-05 00:00:00,288,Y,0.7200000000000273,,,,,성 보,,,12/05 Ship Send,
,586,BK,,,,,,,정요척,0.84,Y,492.24,,,Y,,493,Y,0.7599999999999909,,,,,,,,,
