MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB66BLM127Z,,,,,,QTY,1366,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,FREE,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
KH,,240,250.0,74.0,,,국내,564,,,,,,,,,,,,,,,,,,,,
BK,,340,350.0,112.0,,,,802,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,"원,부자재 선적 완료",,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-01-08 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,580,600.0,186.0,0,0.0,,1366,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-04-29 00:00:00,,,
라벨발주 1.02%,,591.6,612.0,189.72,0,0.0,,1393.32,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
겉감                           OUT-SHELL,564,KH,,,,,,53,정요척,1.34,Y,755.76,,,Y,2026-01-23 00:00:00,756.25,Y,0.4900000000000091,,,,,천지,,,1/23 Ship Send,
,802,BK,,,,,,54,정요척,1.33,Y,1066.66,,,Y,,1067.25,Y,0.5899999999999181,,,,,,,,,
"(싸개패드)
다후다",564,KH,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,802,BK,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"다후다
LINING
해리,주머니감",564,KH,,,,,,"44""",정요척,0.2,Y,112.80000000000001,,,Y,2026-01-23 00:00:00,113,Y,0.19999999999998863,,,,,성 보,,,1/23 Ship Send,
,802,BK,,,,,,,정요척,0.2,Y,160.4,,,Y,,161,Y,0.5999999999999943,,,,,,,,,
"쉬 폰
LINING",564,KH,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,성 보,,,,
,802,BK,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"심 지
INTERLINING
(MT-100)",564,KH,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,다경섬유,,,,
,802,BK,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"심 지
INTERLINING
(M-2015)",564,KH,,,BK,,,"58""",정요척,0.5,Y,282,,,Y,2026-01-23 00:00:00,282,Y,0,,,,,다경섬유,,,1/23 Ship Send,
,802,BK,,,BK,,,,정요척,0.5,Y,401,,,Y,,401,Y,0,,,,,,,,,
"심 지
INTERLINING
(M-252)",564,KH,,,,,,"44""",정요척,,Y,0,,,Y,,,R,0,,,,,신승이앤티,,,,
,802,BK,,,,,,,정요척,,Y,0,,,Y,,,R,0,,,,,,,,,
"실크 암홀 테이프
EDEG TAPE",564,KH,,,,,,8MM,,,Y,0,,,Y,,,R,0,,,,,다 남,,,,
,802,BK,,,,,,,,,Y,0,,,Y,,,R,0,,,,,,,,,
"(실크) 다데테이프
EDEG TAPE",564,KH,,,,,,8MM,,5.3,Y,59.784,,,Y,2026-01-23 00:00:00,60,R,0.21600000000000108,,,,,다 남,,,1/23 Ship Send,
,802,BK,,,,,,,,5.3,Y,85.01199999999999,,,Y,,86,R,0.9880000000000138,,,,,,,,,
"비바테이프
EDEG TAPE",564,KH,,,,,,10MM,,1.4,Y,15.791999999999998,,,Y,2026-01-23 00:00:00,16,R,0.20800000000000196,,,,,다 남,,,1/23 Ship Send,
,802,BK,,,,,,,,1.4,Y,22.456,,,Y,,23,R,0.5440000000000005,,,,,,,,,
"본봉사
코아사
45S/2H               THREAD",564,KH,,,KH,,,2500M,,150,M,33.84,,,C,2026-01-23 00:00:00,34,C,0.1599999999999966,,,,,다 남,,,1/23 Ship Send,
,802,BK,,,BK,,,,,150,M,48.12,,,C,,49,C,0.8800000000000026,,,,,,,,,
"오바사
60S/3H               THREAD",564,KH,,,KH,,,4000M,,280,M,39.48,,,C,2026-01-23 00:00:00,40,C,0.5200000000000031,,,,,다 남,,,1/23 Ship Send,
,802,BK,,,BK,,,,,280,M,56.14,,,C,,57,C,0.8599999999999994,,,,,,,,,
"본봉사
스티치               THREAD",564,KH,,,KH,,,2500M,,35,M,7.896,,,C,2026-01-23 00:00:00,8,C,0.10400000000000009,,,,,다 남,,,1/23 Ship Send,
,802,BK,,,BK,,,,,35,M,11.228,,,C,,12,C,0.7720000000000002,,,,,,,,,
"스쿠이사
45S/3H               THREAD",564,KH,,,KH,,,500M,,,M,0,,,C,,,C,0,,,,,다 남,,,,
,802,BK,,,BK,,,,,,M,0,,,C,,,C,0,,,,,,,,,
싸개PAD,564,KH,,,,,,2MM,,,SET,0,,,SET,,,SET,0,,,,,신승이앤티,,,,
,802,BK,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
솜마꾸라지,564,KH,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,신승이앤티,,,,
,802,BK,,,,,,,,,SET,0,,,SET,,,SET,0,,,,,,,,,
"혼솔 지퍼
ZIPPER",564,KH,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,다 남,,,,
,802,BK,,,,,,,,,EA,0,,,EA,,,EA,0,,,,,,,,,
"단 추
앞마이",564,KH,,,,,,18MM,,4,EA,2256,,,EA,2026-01-23 00:00:00,2256,EA,0,,,,,보타니,,,1/23 Ship Send,
,802,BK,,,,,,,,4,EA,3208,,,EA,,3208,EA,0,,,,,,,,,
소매 단추,564,KH,,,,,,15MM,,2,EA,1128,,,EA,2026-01-23 00:00:00,1128,EA,0,,,,,보타니,,,1/23 Ship Send,
,802,BK,,,,,,,,2,EA,1604,,,EA,,1604,EA,0,,,,,,,,,
곤돌라 단추,564,KH,,,,,,8MM,,1,EA,564,,,EA,2026-01-23 00:00:00,564,EA,0,,,,,보타니,,,1/23 Ship Send,
,802,BK,,,,,,,,1,EA,802,,,EA,,802,EA,0,,,,,,,,,
금속장식,564,KH,,,,,,,,1,EA,564,,,EA,2026-01-23 00:00:00,564,EA,0,,,,,보타니,,,1/23 Ship Send,
,802,BK,,,,,,,,1,EA,802,,,EA,,802,EA,0,,,,,,,,,
스토퍼,564,KH,,,,,,,,1,EA,564,,,EA,2026-01-23 00:00:00,564,EA,0,,,,,보타니,,,1/23 Ship Send,
