MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB66SLM131Z,,,,,,QTY,1533,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
LK,,330,350.0,88.0,,,국내,768,,,,,,,,,,,,,,,,,,,,
DG,,320,340.0,105.0,,,,765,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,"원,부자재 선적 완료",,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-01-08 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,650,690.0,193.0,0,0.0,,1533,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-04-29 00:00:00,,,
라벨발주 1.02%,,663,703.8000000000001,196.86,0,0.0,,1563.66,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
"겉감
OUT-SHELL",768,LK,,,,,,"52""",정요척,1.64,Y,1259.52,,,Y,2026-01-23 00:00:00,1260,Y,0.4800000000000182,,,,,가영,,,1/23 Ship Send,
,765,DG,,,,,,"52""",정요척,1.64,Y,1254.6,,,Y,,1256,Y,1.400000000000091,,,,,,,,,
,0,0,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"(싸개패드)
다후다",768,LK,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,765,DG,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"배 색
COMBINATION",768,LK,,,,,,"58""",정요척,,Y,0,,,Y,,,Y,0,,,,,성 보,,,,
,765,DG,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
