MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB68SLM101A,,,,,,QTY,1457,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
DE,,310,320.0,99.0,,,국내,729,,,,,,,,,,,,,,,,,,,,
BK,,300,320.0,108.0,,,,728,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-03-10 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,610,640.0,207.0,0,0.0,,1457,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-06-17 00:00:00,,,
라벨발주 1.02%,,622.2,652.8,211.14000000000001,0,0.0,,1486.14,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
"겉감
OUT-SHELL",729,DE,,,,,,"56""",정요척,1.64,Y,1195.56,,,Y,2026-03-14 00:00:00,1197,Y,1.4400000000000546,,,,,리원,,,03/14 China Ship Send,
,728,BK,,,,,,,정요척,1.64,Y,1193.9199999999998,,,Y,,1195,Y,1.0800000000001546,,,,,,,,,
,0,0,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"(싸개패드)
다후다",729,DE,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,728,BK,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"배 색
COMBINATION",729,DE,,,,,,"58""",정요척,0.1,Y,72.9,,,Y,2026-03-20 00:00:00,73,Y,0.09999999999999432,,,,,성 보,,,3/20 Ship Send,
