MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YHMP103Z,,,,,,QTY,0,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
CR,,,,,,,국내,0,,,,,,,,,,,,,,,,,,,,
LB,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
DG,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-06-08 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,0,0.0,0.0,0,0.0,,0,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-09-02 00:00:00,,,
라벨발주 1.02%,,0,0.0,0.0,0,0.0,,0,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
겉감                           OUT-SHELL,0,CR,,,,,,"57""",정요척,,Y,0,,,Y,,,Y,0,,,,,유미,,,,
,0,LB,,,,,,"57""",정요척,,Y,0,,,Y,,,Y,0,,,,,리드,,,,
,0,DG,,,,,,"57""",정요척,,Y,0,,,Y,,,Y,0,,,,,리드,,,,
"트윌
LINING
해리,주머니감",0,CR,,,,,,"57""",정요척,,Y,0,,,Y,,,Y,0,,,,,유미,,,,
,0,LB,,,,,,"57""",정요척,,Y,0,,,Y,,,Y,0,,,,,리드,,,,
,0,CR,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,0,LB,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
,0,DG,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
