MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YHMS107A,,,,,,QTY,1346,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
LB,,230,176.0,,,,국내,406,,,,,,,,,,,,,,,,,,,,
CO,,265,220.0,,,,,485,,,,,,,,,,,,,,,,,,,,
CC,,235,220.0,,,,,455,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-02-06 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,730,616.0,0.0,0,0.0,,1346,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2025-09-02 00:00:00,,,
라벨발주 1.02%,,744.6,628.32,0.0,0,0.0,,1372.92,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
겉감                           OUT-SHELL,406,LB,,,,,,"57""",정요척,1.83,Y,742.98,,,Y,2026-02-09 00:00:00,743.7,Y,0.7200000000000273,,,,,성 주,,,02/09 China Ship Send,
,485,CO,,,,,,"57""",정요척,1.83,Y,887.5500000000001,,,Y,,888.9,Y,1.349999999999909,,,,,,,,,
,455,CC,,,,,,"57""",정요척,1.83,Y,832.65,,,Y,,834,Y,1.3500000000000227,,,,,,,,,
"(싸개패드)
다후다",406,LB,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,485,CO,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
