MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YJKM181Z,,,,,,QTY,663,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
BR,,320,290.0,53.0,,,국내,663,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-06-19 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,320,290.0,53.0,0,0.0,,663,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-10-01 00:00:00,,,
라벨발주 1.02%,,326.4,295.8,54.06,0,0.0,,676.26,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
겉감                           OUT-SHELL,663,BR,,,,,,"56""",정요척,2.33,Y,1544.79,,,Y,2026-06-27 00:00:00,1546.7,Y,1.9100000000000819,,,,,리드,,,중국선적(예),
,0,0,,,,,,,정요척,2.33,Y,0,,,Y,,,Y,0,,,,,,,,,
"(싸개패드)
다후다",663,BR,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,0,0,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"배 색1
COMBINATION
컬러코팅/
소매턴없이",663,BR,,,,,,"58""",정요척,0.08,Y,53.04,,,Y,2026-07-04 00:00:00,54,,,,,,,성보,,,인천선적,
,0,0,,,,,,,정요척,0.08,Y,0,,,Y,,,,,,,,,,,,,
