MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YSLM107Z,,,,,,QTY,1227,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
BE,,240,260.0,50.0,,,국내,550,,,,,,,,,,,,,,,,,,,,
MG,,280,300.0,97.0,,,,677,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-06-19 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,520,560.0,147.0,0,0.0,,1227,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-10-01 00:00:00,,,
라벨발주 1.02%,,530.4,571.2,149.94,0,0.0,,1251.54,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
"겉감
OUT-SHELL",550,BE,,,,,,"55""",정요척,1.58,Y,869,,,Y,2026-06-27 00:00:00,870,Y,1,,,,,르카이,,,중국선적(예),
,677,MG,,,,,,,정요척,1.58,Y,1069.66,,,Y,,1071.2,Y,1.5399999999999636,,,,,,,,,
,0,0,,,,,,,정요척,1.58,Y,0,,,Y,,,Y,0,,,,,,,,,
"(싸개패드)
다후다",550,BE,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,677,MG,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"배 색
COMBINATION",550,BE,,,,,,"58""",정요척,0.1,Y,55,,,Y,,,Y,-55,,,,,성 보,,,,
,677,MG,,,,,,,정요척,0.1,Y,67.7,,,Y,,,Y,-67.7,,,,,,,,,
