MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB63JKM105Z,,,,,,QTY,1114,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
WH,,300,250.0,32.0,,,국내,582,,,,,,,,,,,,,,,,,,,,
YE,,270,230.0,32.0,,,,532,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2025-10-14 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,570,480.0,64.0,0,0.0,,1114,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-02-02 00:00:00,,,
라벨발주 1.02%,,581.4,489.6,65.28,0,0.0,,1136.28,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
겉감                           OUT-SHELL,582,WH,,,,,,"53""",정요척,1.4,Y,814.8,,,Y,2025-10-29 00:00:00,821,Y,6.2000000000000455,,,,,동림,,,10/29 Ship Send,
,532,YE,,,,,,,정요척,1.4,Y,744.8,,,Y,,749,Y,4.2000000000000455,,,,,,,,,
"(싸개패드)
다후다",582,WH,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,532,YE,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"배 색
COMBINATION",582,WH,,,,,,"58""",정요척,0.17,Y,98.94000000000001,,,Y,,,Y,-98.94000000000001,,,,,성 보,,,,
,532,YE,,,,,,,정요척,0.17,Y,90.44000000000001,,,Y,,,Y,-90.44000000000001,,,,,,,,,
