MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB64SLM124Z,,,,,,QTY,1407,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
BK,,317,280.0,100.0,,,국내,697,,,,,,,,,,,,,,,,,,,,
IV,,340,280.0,90.0,,,,710,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,원부자재 선적 완료,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2025-11-19 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,657,560.0,190.0,0,0.0,,1407,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-02-27 00:00:00,,,
라벨발주 1.02%,,670.14,571.2,193.8,0,0.0,,1435.14,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
"겉감
OUT-SHELL",697,BK,,,,,,"58""",정요척,1.53,Y,1066.41,,,Y,2025-12-05 00:00:00,1067,Y,0.5899999999999181,,,,,티플로,,,12/05 Ship Send,
,710,IV,,,,,,"56""",정요척,1.53,Y,1086.3,,,Y,,1087,Y,0.7000000000000455,,,,,,,,,
,0,0,,,,,,"58""",정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"(싸개패드)
다후다",697,BK,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,710,IV,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"배 색
COMBINATION",697,BK,,,,,,"58""",정요척,0.07,Y,48.790000000000006,,,Y,,,Y,-48.790000000000006,,,,,성 보,,,,
