MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB65SLP102Z,,,,,,QTY,948,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
BK,,410,380.0,158.0,,,국내,948,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2025-10-23 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,410,380.0,158.0,0,0.0,,948,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2025-03-20 00:00:00,,,
라벨발주 1.02%,,418.2,387.6,161.16,0,0.0,,966.96,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
겉감                           OUT-SHELL,948,BK,,,,,,"53""",정요척,1.461,Y,1385.028,,,Y,2025-10-29 00:00:00,1470,Y,84.97199999999998,,,,,천지,,,10/29 Ship Send,
,0,0,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
,0,0,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"(싸개패드)
다후다",948,BK,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,0,0,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"다후다
LINING
해리,주머니감",948,BK,,,,,,"44""",정요척,0.26,Y,246.48000000000002,,,Y,2025-10-29 00:00:00,247,Y,0.5199999999999818,,,,,성 보,,,10/29 Ship Send,
,0,0,,,,,,,정요척,0.26,Y,0,,,Y,,,Y,0,,,,,,,,,
