MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB68SLM107A,,,,,,QTY,1245,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
DE,,270,277.0,75.0,,,국내,622,,,,,,,,,,,,,,,,,,,,
BK,,263,280.0,80.0,,,,623,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,수량 3/12 변경됨 원단 불량 쇼트,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-03-10 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,533,557.0,155.0,0,0.0,,1245,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-06-17 00:00:00,,,
라벨발주 1.02%,,543.66,568.14,158.1,0,0.0,,1269.9,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
"겉감
OUT-SHELL",622,DE,,,,,,"54""",정요척,1.7,Y,1057.3999999999999,,,Y,2026-03-20 00:00:00,1058,Y,0.6000000000001364,,,,,바오,,,3/20 Ship Send,
,623,BK,,,,,,,정요척,1.7,Y,1059.1,,,Y,,1060,Y,0.900000000000091,,,,,,,,,
,0,0,,,,,,,정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"(싸개패드)
다후다",622,DE,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,623,BK,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"배 색
COMBINATION",622,DE,,,,,,"58""",정요척,0.1,Y,62.2,,,Y,,,Y,-62.2,,,,,성 보,,,,
