MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YHMM106Z,,,,,,QTY,514,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
BK,,280,234.0,,,,국내,514,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-02-05 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,280,234.0,0.0,0,0.0,,514,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2025-09-02 00:00:00,,,
라벨발주 1.02%,,285.6,238.68,0.0,0,0.0,,524.28,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
겉감                           OUT-SHELL,514,BK,,,,,,"56""",정요척,1.35,Y,693.9000000000001,,,Y,2026-02-07 00:00:00,700,Y,6.099999999999909,,,,,유크,,,02/07 China Ship Send,
,0,0,,,,,,"57""",정요척,,Y,0,,,Y,,,Y,0,,,,,,,,,
"(싸개패드)
다후다",514,BK,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,0,0,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"트윌
LINING
해리,주머니감",514,BK,,,,,,"44""",정요척,0.17,Y,87.38000000000001,,,Y,,,Y,-87.38000000000001,,,,,성 보,,,,
,0,0,,,,,,,정요척,0.17,Y,0,,,Y,,,Y,0,,,,,,,,,
"쉬 폰
LINING",514,BK,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,성 보,,,,
