MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YHMP102Z-1,,,,,,QTY,987,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
CR,,200,124.0,,,,국내,324,,,,,,,,,,,,,,,,,,,,
LB,,200,122.0,,,,,322,,,,,,,,,,,,,,,,,,,,
DG,,200,141.0,,,,,341,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-06-08 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,600,387.0,0.0,0,0.0,,987,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-09-02 00:00:00,,,
라벨발주 1.02%,,612,394.74,0.0,0,0.0,,1006.74,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
겉감                           OUT-SHELL,324,CR,,,,,,"57""",정요척,1.33,Y,430.92,,,Y,,,Y,-430.92,,,,,유미,,,,
,322,LB,,,,,,"57""",정요척,1.33,Y,428.26000000000005,,,Y,,,Y,-428.26000000000005,,,,,리드,,,,
,341,DG,,,,,,"57""",정요척,1.34,Y,456.94000000000005,,,Y,,,Y,-456.94000000000005,,,,,리드,,,,
"트윌
LINING
해리,주머니감",324,CR,,,,,,"57""",정요척,1.33,Y,430.92,,,Y,,,Y,-430.92,,,,,유미,,,,
,322,LB,,,,,,"57""",정요척,1.33,Y,428.26000000000005,,,Y,,,Y,-428.26000000000005,,,,,리드,,,,
,324,CR,,,,,,"44""",정요척,1.95,Y,631.8,,,Y,,,Y,-631.8,,,,,신승이앤티,,,,
