MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YJKM112Z,,,,,,QTY,584,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
DE,,270,250.0,64.0,,,국내,584,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-06-17 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,270,250.0,64.0,0,0.0,,584,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-10-16 00:00:00,,,
라벨발주 1.02%,,275.4,255.0,65.28,0,0.0,,595.6800000000001,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
겉감                           OUT-SHELL,584,DE,,,,,,"57""",정요척,1.79,Y,1045.3600000000001,,,Y,2026-06-27 00:00:00,1046.8,Y,1.4399999999998272,,,,,리드,,,중국선적,
,0,0,,,,,,,정요척,1.79,Y,0,,,Y,,,Y,0,,,,,,,,,
"(싸개패드)
다후다",584,DE,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,0,0,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"배 색밑가시
COMBINATION",584,DE,,,,,,"58""",정요척,0.07,Y,40.88,,,Y,2026-07-04 00:00:00,41,Y,0.11999999999999744,,,,,성 보,,,인천선적,
,0,0,,,,,,,정요척,0.17,Y,0,,,Y,,,Y,0,,,,,,,,,
