MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YSLM106Z,,,,,,QTY,1351,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
GR,,270,320.0,91.0,,,국내,681,,,,,,,,,,,,,,,,,,,,
BK,,260,310.0,100.0,,,,670,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-06-11 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,530,630.0,191.0,0,0.0,,1351,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-10-01 00:00:00,,,
라벨발주 1.02%,,540.6,642.6,194.82,0,0.0,,1378.02,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
"겉감
OUT-SHELL",681,GR,,,,,,"56""",정요척,1.4,Y,953.4,,,Y,2026-06-27 00:00:00,954,Y,0.6000000000000227,,,,,르카이,,,중국선적,
,670,BK,,,,,,,정요척,1.4,Y,937.9999999999999,,,Y,,938,Y,0,,,,,,,,,
,0,0,,,,,,,정요척,1.4,Y,0,,,Y,,,Y,0,,,,,,,,,
"(싸개패드)
다후다",681,GR,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,670,BK,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"배 색
COMBINATION",681,GR,,,,,,"58""",정요척,0.1,Y,68.10000000000001,,,Y,,,Y,-68.10000000000001,,,,,성 보,,,,
,670,BK,,,,,,,정요척,0.1,Y,67,,,Y,,,Y,-67,,,,,,,,,
