MATERIAL LIST,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STYLE NO,MB6YSLM113Z,,,,,,QTY,2288,,,,FACTORY,,베트남,,,,,BUYER,,미도컴퍼니,,,D.S,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLOOR/SIZE,,55,66.0,77.0,,,,TOTAL,,,,,,,,,,,,,,담 당,,과 장,이 사 ,사 장 ,, 
BR,,311,360.0,120.0,,,국내,791,,,,,,,,,,,,,,,,,,,,
GR,,287,310.0,100.0,,,,697,,,,,,,,,,,,,,,,,,,,
BK,,320,360.0,120.0,,,,800,,,,,,,,,,,,,,,,,,,,
,,,,,,,중국,0,,,,,,,,,,,,,,,작 성 일 자 :,,2026-06-17 00:00:00,,,
,,,,,,,,0,,,,,,,,,,,,,,,UP DATE :,,,,,
,,,,,,,,0,,,,,,,,,,,,,,,1st SHIP DATE :,,,,,
EACH SIZE TOTAL,,918,1030.0,340.0,0,0.0,,2288,,,,,,,,,,,,,,,본 사 납 기 (RDD):,,2026-10-01 00:00:00,,,
라벨발주 1.02%,,936.36,1050.6,346.8,0,0.0,,2333.76,,,,,,,,,,,,,,,,,,,,
ITEMS,QTY,COLOR OF,,,사용 칼라,,,UNIT,PER,요척,,필요량,발주 일자 및 수량,,,1ST. SHIPMENT(EX-),,,B L N,2ST. SHIPMENT(EX-),,,FINAL,"공급처
(MILL)","단가
($/￦)","혼용률
중량
소재명",REMARK'S,
,,OUT SHELL,,,COLOR USED,,,SPEC,1PACK,CON'S,,"CON'S
AMOUNT",DATE,"ORDER
QTY",,DATE,"RCVD
QTY",,,Date,"RCVD
Qty",,B L N,,,,,
"겉감
OUT-SHELL",791,BR,,,,,,"59""",정요척,1.31,Y,1036.21,,,Y,2026-06-27 00:00:00,1038,Y,1.7899999999999636,,,,,르카이,,,중국선적(예),
,697,GR,,,,,,,정요척,1.31,Y,913.07,,,Y,,914,Y,0.92999999999995,,,,,,,,,
,800,BK,,,,,,"56""",정요척,1.35,Y,1080,,,Y,,1081,Y,1,,,,,,,,,
"(싸개패드)
다후다",791,BR,,,,,,"44""",정요척,,Y,0,,,Y,,,Y,0,,,,,신승이앤티,,,,
,697,GR,,,,,,"44""",정요척,,Y,0,A,,Y,,,Y,0,,,,,,,,,
"배 색
COMBINATION",791,BR,,,,,,"58""",정요척,0.1,Y,79.10000000000001,,,Y,,,Y,-79.10000000000001,,,,,성 보,,,,
